featureName,importanceMetric
mgrB,0.24298288789375896
KP0228_02749,0.09111188690050648
KP0228_03719,0.07156135466754972
KP0228_01258,0.05441084700030429
KP0228_00887,0.03819467974624396
KP0228_04612,0.03356161065147265
KP0228_04079,0.030187507023961068
KP0228_05093,0.029626278085463666
KP0228_05095,0.02579357202745921
KP0228_00647,0.025676849681172845
KP0228_01191,0.025569753004101553
KP0228_01257,0.025549713189673584
KP0228_00935,0.024426233425628677
KP0228_00231,0.02434128734656319
KP0228_03376,0.02020617821661295
KP0228_01636,0.019948979977057402
KP0228_01423,0.019566005351026924
KP0228_03186,0.019160293734031407
KP0228_00003,0.01716780549163937
KP0228_00780,0.014836542035305163
KP0228_01800,0.014791861019345582
KP0228_01801,0.013572438493837512
KP0228_04429,0.013349749788858684
KP0228_02222,0.012970368548292898
KP0228_02281,0.012747088362657316
KP0228_02499,0.01243965072274173
KP0228_01892,0.010602507371636465
KP0228_01648,0.009326929947431202
KP0228_00532,0.00875639303693008
KP0228_01383,0.008005787327996472
KP0228_00809,0.007429297741817374
KP0228_00651,0.006156382698922025
KP0228_03126,0.004489003566131265
KP0228_03478,0.004476650619601304
KP0228_03378,0.0024238816584459606
KP0228_03377,0.002168572710967522
KP0228_01339,0.0010398318914723258
KP0228_03486,0.0006969729179010756
KP0228_01437,0.0006585628012418742
KP0228_00004,1.7390122803886385e-05
KP0228_02065,4.132014346516971e-07
KP0228_01345,0.0
KP0228_03548,0.0
KP0228_03550,0.0
KP0228_04130,0.0
KP0228_04292,0.0
KP0228_01470,0.0
KP0228_04658,0.0
KP0228_01808,0.0
KP0228_01979,0.0
KP0228_03441,0.0
KP0228_04686,0.0
KP0228_03113,0.0
KP0228_05046,0.0
